Start time,End time,Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
27:44.6,00:03.0,Google Snippets,Augmentation with max. window size 2,0.13667714,18,358,0.899186881,77.45098039
07:21.0,00:11.5,Google Snippets,Augmentation with max. window size 3,0.283996656,27,282,0.539276835,86.05200946
10:29.4,00:19.8,Google Snippets,Augmentation with max. window size 2,0.337242168,13,232,0.641869522,84.26294821
41:50.5,00:37.6,Google Snippets,No Augmentation,0.508638306,20,190,0.454959704,88.11096433
16:34.0,00:40.8,Google Snippets,No Augmentation,0.214670165,28,314,0.785680234,80
35:58.0,00:49.7,Google Snippets,No Augmentation,0.086186148,10,433,0.598097594,82.94573643
03:07.7,00:58.5,Google Snippets,Augmentation with max. window size 2,0.337242168,20,246,0.516009048,85.25896414
05:04.2,01:02.2,Google Snippets,Augmentation with max. window size 2,0.397940009,9,197,0.600604276,83.44594595
29:28.3,01:12.3,Google Snippets,Augmentation with max. window size 3,0.119186408,24,404,0.648438832,83.70786517
03:58.1,01:18.6,Google Snippets,No Augmentation,0.283996656,0,326,0.540990347,85.57919622
39:00.4,01:20.4,Google Snippets,Augmentation with max. window size 3,0.102372909,6,367,0.845918134,77.12418301
16:44.2,01:21.2,Google Snippets,No Augmentation,0.214670165,7,319,0.618024157,84.6875
28:30.4,01:39.8,Google Snippets,Augmentation with max. window size 2,0.13667714,4,364,0.666066145,86.2745098
58:36.9,01:59.8,Google Snippets,Augmentation with max. window size 3,0.366531544,21,247,0.574715457,84.40366972
09:37.5,02:09.7,Google Snippets,No Augmentation,0.366531544,22,220,0.542320551,85.68807339
25:12.1,02:13.3,Google Snippets,Augmentation with max. window size 3,0.214670165,27,271,0.700229059,81.25
33:24.3,02:29.9,Google Snippets,Augmentation with max. window size 3,0.119186408,10,370,0.709808734,84.26966292
28:58.7,02:41.9,Google Snippets,Augmentation with max. window size 2,0.119186408,7,442,0.762705952,80.8988764
22:25.2,03:05.3,Google Snippets,No Augmentation,0.13667714,15,459,0.602979383,84.80392157
32:02.7,03:36.8,Google Snippets,No Augmentation,0.508638306,6,224,0.430015607,88.50726552
43:03.1,03:43.3,Google Snippets,Augmentation with max. window size 2,0.721246399,8,158,0.600327752,85.93082192
02:21.7,04:11.1,Google Snippets,Augmentation with max. window size 3,0.397940009,26,234,0.459458334,88.85135135
12:13.1,04:12.4,Google Snippets,No Augmentation,0.366531544,15,227,0.525799151,86.23853211
33:31.0,04:17.2,Google Snippets,No Augmentation,0.119186408,18,386,0.800530849,79.7752809
16:40.8,04:50.5,Google Snippets,Augmentation with max. window size 2,0.366531544,4,187,0.687233452,82.56880734
32:40.9,04:51.2,Google Snippets,Augmentation with max. window size 3,0.193820026,16,253,0.710110575,82.69896194
35:08.9,04:59.3,Google Snippets,No Augmentation,0.086186148,3,505,0.955257446,70.54263566
38:51.9,05:03.4,Google Snippets,Augmentation with max. window size 3,0.15490196,14,253,0.698515376,83.11688312
23:56.9,05:05.8,Google Snippets,Augmentation with max. window size 2,0.259637311,6,257,0.588796904,82.6873385
19:25.4,05:07.1,Google Snippets,Augmentation with max. window size 3,0.236572006,18,295,0.67088136,82.95454545
