Dataset,Augmentation technique,Dataset Reduction (r),Experiment #,Training Epochs,Test loss,Test accuracy
TREC,Augmentation with max. window size 2,0.886056648,9.5,373.05,1.9070231675999996,51.85055807249999
TREC,Augmentation with max. window size 2,1.0,9.5,377.0,1.8418973922500002,53.08787107449999
TREC,Augmentation with max. window size 3,0.013228266,9.5,131.3,3.3316066981499994,18.636364192499997
TREC,Augmentation with max. window size 3,0.026872146,9.5,224.55,3.1784101486,24.090909511049997
TREC,Augmentation with max. window size 3,0.040958608,9.5,316.2,3.0928195715499998,25.8823537075
TREC,Augmentation with max. window size 3,0.055517328,9.5,336.95,2.98334839345,26.000000650500006
TREC,Augmentation with max. window size 3,0.07058107400000001,9.5,339.0,2.89451583635,27.894736974
TREC,Augmentation with max. window size 3,0.086186148,9.5,391.9,2.8456990956999997,30.142858029000003
TREC,Augmentation with max. window size 3,0.102372909,9.5,426.9,2.799059999,31.265060157000004
TREC,Augmentation with max. window size 3,0.11918640800000001,9.5,462.65,2.6707893967499996,33.7628857785
TREC,Augmentation with max. window size 3,0.13667714,9.5,501.7,2.65259083515,34.54954944600001
TREC,Augmentation with max. window size 3,0.15490196,9.5,502.3,2.6711966396,36.07142940149999
TREC,Augmentation with max. window size 3,0.173925197,9.5,501.5,2.6499048948,34.929077698499995
TREC,Augmentation with max. window size 3,0.193820026,9.5,510.2,2.5792787551500007,37.675158829
TREC,Augmentation with max. window size 3,0.214670165,9.5,559.45,2.565118110249999,36.925287693499996
TREC,Augmentation with max. window size 3,0.236572006,9.5,576.45,2.5073838115,37.23958328350001
TREC,Augmentation with max. window size 3,0.25963731100000004,9.5,573.95,2.5164320587999995,37.785715013499996
TREC,Augmentation with max. window size 3,0.283996656,9.5,433.3,2.4454723716499998,40.021739304
TREC,Augmentation with max. window size 3,0.30980392,9.5,425.65,2.4026002765,41.314742267999996
TREC,Augmentation with max. window size 3,0.33724216799999995,9.5,409.4,2.393266344,41.776557267
TREC,Augmentation with max. window size 3,0.366531544,9.5,431.0,2.32312470665,41.858107745000005
TREC,Augmentation with max. window size 3,0.397940009,9.5,420.5,2.3021218538,42.422360330500005
TREC,Augmentation with max. window size 3,0.43179827600000004,9.5,435.25,2.22641602755,44.7564470765
TREC,Augmentation with max. window size 3,0.46852108299999995,9.5,440.9,2.2105518221500002,45.69920867750001
TREC,Augmentation with max. window size 3,0.508638306,9.5,434.35,2.2305113196499997,44.18491497749999
TREC,Augmentation with max. window size 3,0.5528419689999999,9.5,402.35,2.17858076685,46.387024522500006
TREC,Augmentation with max. window size 3,0.602059991,9.5,366.85,2.1546657204499997,46.868583858
TREC,Augmentation with max. window size 3,0.6575773189999999,9.5,384.8,2.07789826405,47.551788688
TREC,Augmentation with max. window size 3,0.7212463990000001,9.5,405.25,2.0398774027499997,49.433961809
TREC,Augmentation with max. window size 3,0.795880017,9.5,421.4,2.02904465205,49.11353006949999
TREC,Augmentation with max. window size 3,0.886056648,9.5,367.15,1.9648704767000003,50.53770899799999
